Region,County,First Dose,Series Complete,Report as of
Southern Tier,Steuben,6804,2186,02/05/2021
Long Island,Suffolk,127757,47739,02/05/2021
Mid-Hudson,Sullivan,5408,2044,02/05/2021
Southern Tier,Tioga,3374,1163,02/05/2021
Southern Tier,Tompkins,9194,3129,02/05/2021
Mid-Hudson,Ulster,15044,4868,02/05/2021
Capital Region,Warren,6795,2588,02/05/2021
Capital Region,Washington,4509,1639,02/05/2021
Finger Lakes,Wayne,7618,2404,02/05/2021
Mid-Hudson,Westchester,98303,34975,02/05/2021
Finger Lakes,Wyoming,3353,1288,02/05/2021
Finger Lakes,Yates,2144,643,02/05/2021
Capital Region,Albany,32794,13813,02/06/2021
Western New York,Allegany,2646,1049,02/06/2021
New York City,Bronx,76916,24387,02/06/2021
Southern Tier,Broome,22170,7358,02/06/2021
Western New York,Cattaraugus,5501,2157,02/06/2021
Central New York,Cayuga,8220,2595,02/06/2021
Western New York,Chautauqua,10379,3486,02/06/2021
Southern Tier,Chemung,7956,2833,02/06/2021
Southern Tier,Chenango,3876,1316,02/06/2021
North Country,Clinton,12364,3466,02/06/2021
Capital Region,Columbia,5654,1773,02/06/2021
Central New York,Cortland,4099,1421,02/06/2021
Southern Tier,Delaware,2859,964,02/06/2021
Mid-Hudson,Dutchess,21766,8473,02/06/2021
Western New York,Erie,95956,33946,02/06/2021
North Country,Essex,5229,1420,02/06/2021
North Country,Franklin,6703,2288,02/06/2021
Mohawk Valley,Fulton,4486,1804,02/06/2021
Finger Lakes,Genesee,5419,1506,02/06/2021
Capital Region,Greene,3978,1070,02/06/2021
North Country,Hamilton,1366,188,02/06/2021
Mohawk Valley,Herkimer,6894,1949,02/06/2021
North Country,Jefferson,11334,4030,02/06/2021
New York City,Kings,143637,37662,02/06/2021
North Country,Lewis,2958,862,02/06/2021
Finger Lakes,Livingston,6856,2428,02/06/2021
Central New York,Madison,7448,2845,02/06/2021
Finger Lakes,Monroe,76542,29689,02/06/2021
Mohawk Valley,Montgomery,4930,2084,02/06/2021
Long Island,Nassau,156622,53059,02/06/2021
New York City,New York,176081,54057,02/06/2021
Western New York,Niagara,20194,6714,02/06/2021
Mohawk Valley,Oneida,27283,9764,02/06/2021
Central New York,Onondaga,58844,17699,02/06/2021
Finger Lakes,Ontario,12292,4330,02/06/2021
Mid-Hudson,Orange,21957,9220,02/06/2021
Finger Lakes,Orleans,2726,864,02/06/2021
Central New York,Oswego,12055,3114,02/06/2021
Mohawk Valley,Otsego,6617,2955,02/06/2021
Mid-Hudson,Putnam,8546,3067,02/06/2021
New York City,Queens,162425,44122,02/06/2021
Capital Region,Rensselaer,17010,5931,02/06/2021
New York City,Richmond,46843,11192,02/06/2021
Mid-Hudson,Rockland,29849,9168,02/06/2021
Capital Region,Saratoga,25086,9841,02/06/2021
Capital Region,Schenectady,15529,6300,02/06/2021
Mohawk Valley,Schoharie,2181,700,02/06/2021
Southern Tier,Schuyler,1830,719,02/06/2021
Finger Lakes,Seneca,3167,733,02/06/2021
North Country,St. Lawrence,16841,4863,02/06/2021
Southern Tier,Steuben,6840,2227,02/06/2021
Long Island,Suffolk,130495,51064,02/06/2021
Mid-Hudson,Sullivan,5540,2185,02/06/2021
Southern Tier,Tioga,3420,1258,02/06/2021
Southern Tier,Tompkins,9351,3247,02/06/2021
Mid-Hudson,Ulster,15247,5146,02/06/2021
Capital Region,Warren,7167,2816,02/06/2021
Capital Region,Washington,4743,1762,02/06/2021
Finger Lakes,Wayne,8009,2644,02/06/2021
Mid-Hudson,Westchester,100553,38040,02/06/2021
Finger Lakes,Wyoming,3363,1299,02/06/2021
Finger Lakes,Yates,2278,662,02/06/2021
Capital Region,Albany,33778,14500,02/07/2021
Western New York,Allegany,2650,1050,02/07/2021
New York City,Bronx,77681,25333,02/07/2021
Southern Tier,Broome,22519,7427,02/07/2021
Western New York,Cattaraugus,5537,2159,02/07/2021
Central New York,Cayuga,8296,2633,02/07/2021
Western New York,Chautauqua,10462,3544,02/07/2021
Southern Tier,Chemung,8027,3123,02/07/2021
Southern Tier,Chenango,3912,1326,02/07/2021
North Country,Clinton,12533,3479,02/07/2021
Capital Region,Columbia,5767,1875,02/07/2021
Central New York,Cortland,4175,1435,02/07/2021
Southern Tier,Delaware,2885,965,02/07/2021
Mid-Hudson,Dutchess,22073,8635,02/07/2021
Western New York,Erie,96906,34186,02/07/2021
North Country,Essex,5303,1425,02/07/2021
North Country,Franklin,6795,2297,02/07/2021
Mohawk Valley,Fulton,4551,1887,02/07/2021
Finger Lakes,Genesee,5449,1509,02/07/2021
Capital Region,Greene,4019,1089,02/07/2021
North Country,Hamilton,1393,192,02/07/2021
Mohawk Valley,Herkimer,6988,2005,02/07/2021
North Country,Jefferson,11457,4036,02/07/2021
New York City,Kings,146540,39332,02/07/2021
North Country,Lewis,2965,863,02/07/2021
Finger Lakes,Livingston,6887,2459,02/07/2021
Central New York,Madison,7546,2931,02/07/2021
Finger Lakes,Monroe,77458,30341,02/07/2021
Mohawk Valley,Montgomery,5074,2108,02/07/2021
Long Island,Nassau,158163,54635,02/07/2021
New York City,New York,178214,56071,02/07/2021
Western New York,Niagara,20360,6763,02/07/2021
Mohawk Valley,Oneida,27835,10254,02/07/2021
Central New York,Onondaga,59775,18426,02/07/2021
Finger Lakes,Ontario,12407,4418,02/07/2021
Mid-Hudson,Orange,22475,9470,02/07/2021
Finger Lakes,Orleans,2765,865,02/07/2021
Central New York,Oswego,12133,3189,02/07/2021
Mohawk Valley,Otsego,6695,2969,02/07/2021
Mid-Hudson,Putnam,8676,3144,02/07/2021
New York City,Queens,165686,46261,02/07/2021
Capital Region,Rensselaer,17337,6276,02/07/2021
New York City,Richmond,47898,11698,02/07/2021
Mid-Hudson,Rockland,30373,9840,02/07/2021
Capital Region,Saratoga,25499,10197,02/07/2021
Capital Region,Schenectady,15793,6620,02/07/2021
Mohawk Valley,Schoharie,2204,714,02/07/2021
Southern Tier,Schuyler,1876,730,02/07/2021
Finger Lakes,Seneca,3186,738,02/07/2021
North Country,St. Lawrence,17059,4935,02/07/2021
Southern Tier,Steuben,6857,2320,02/07/2021
Long Island,Suffolk,131245,52129,02/07/2021
Mid-Hudson,Sullivan,5625,2204,02/07/2021
Southern Tier,Tioga,3509,1277,02/07/2021
Southern Tier,Tompkins,9995,3261,02/07/2021
Mid-Hudson,Ulster,15365,5289,02/07/2021
Capital Region,Warren,7270,2843,02/07/2021
Capital Region,Washington,4802,1779,02/07/2021
Finger Lakes,Wayne,8055,2662,02/07/2021
Mid-Hudson,Westchester,101938,39974,02/07/2021
Finger Lakes,Wyoming,3440,1306,02/07/2021
Finger Lakes,Yates,2298,665,02/07/2021
Capital Region,Albany,34484,15455,02/08/2021
Western New York,Allegany,2664,1166,02/08/2021
New York City,Bronx,79105,27417,02/08/2021
Southern Tier,Broome,22989,7874,02/08/2021
Western New York,Cattaraugus,5576,2395,02/08/2021
Central New York,Cayuga,8419,2726,02/08/2021
Western New York,Chautauqua,10646,3741,02/08/2021
Southern Tier,Chemung,8112,3372,02/08/2021
Southern Tier,Chenango,3982,1379,02/08/2021
North Country,Clinton,12804,3842,02/08/2021
Capital Region,Columbia,5863,1963,02/08/2021
Central New York,Cortland,4252,1529,02/08/2021
Southern Tier,Delaware,2937,978,02/08/2021
Mid-Hudson,Dutchess,22760,9188,02/08/2021
Western New York,Erie,98425,36943,02/08/2021
North Country,Essex,5459,1495,02/08/2021
North Country,Franklin,6962,2479,02/08/2021
Mohawk Valley,Fulton,4610,1936,02/08/2021
Finger Lakes,Genesee,5509,1608,02/08/2021
Capital Region,Greene,4096,1132,02/08/2021
North Country,Hamilton,1399,197,02/08/2021
Mohawk Valley,Herkimer,7111,2117,02/08/2021
North Country,Jefferson,11700,4137,02/08/2021
New York City,Kings,149338,43771,02/08/2021
North Country,Lewis,2999,979,02/08/2021
Finger Lakes,Livingston,6927,2610,02/08/2021
Central New York,Madison,7764,3127,02/08/2021
Finger Lakes,Monroe,78834,31448,02/08/2021
Mohawk Valley,Montgomery,5129,2201,02/08/2021
Long Island,Nassau,164344,62052,02/08/2021
New York City,New York,180676,61056,02/08/2021
Western New York,Niagara,20649,7363,02/08/2021
Mohawk Valley,Oneida,28426,11224,02/08/2021
Central New York,Onondaga,60880,20243,02/08/2021
Finger Lakes,Ontario,12622,4612,02/08/2021
Mid-Hudson,Orange,22960,10069,02/08/2021
Finger Lakes,Orleans,2780,895,02/08/2021
Central New York,Oswego,12319,3418,02/08/2021
Mohawk Valley,Otsego,6834,2990,02/08/2021
Mid-Hudson,Putnam,9029,3695,02/08/2021
New York City,Queens,170257,51315,02/08/2021
Capital Region,Rensselaer,17666,6677,02/08/2021
New York City,Richmond,48735,12952,02/08/2021
Mid-Hudson,Rockland,31282,10685,02/08/2021
Capital Region,Saratoga,25934,10963,02/08/2021
Capital Region,Schenectady,16093,7182,02/08/2021
Mohawk Valley,Schoharie,2286,766,02/08/2021
Southern Tier,Schuyler,1883,752,02/08/2021
Finger Lakes,Seneca,3217,778,02/08/2021
North Country,St. Lawrence,17404,5569,02/08/2021
Southern Tier,Steuben,6933,2478,02/08/2021
Long Island,Suffolk,134553,57650,02/08/2021
Mid-Hudson,Sullivan,5672,2232,02/08/2021
Southern Tier,Tioga,3569,1354,02/08/2021
Southern Tier,Tompkins,10185,3668,02/08/2021
Mid-Hudson,Ulster,15551,5935,02/08/2021
Capital Region,Warren,7381,3033,02/08/2021
Capital Region,Washington,4876,1875,02/08/2021
Finger Lakes,Wayne,8194,2758,02/08/2021
Mid-Hudson,Westchester,104144,43435,02/08/2021
Finger Lakes,Wyoming,3454,1337,02/08/2021
Finger Lakes,Yates,2393,792,02/08/2021
Capital Region,Albany,35182,16073,02/09/2021
Western New York,Allegany,2682,1205,02/09/2021
New York City,Bronx,81086,29590,02/09/2021
Southern Tier,Broome,23485,8507,02/09/2021
Western New York,Cattaraugus,5635,2579,02/09/2021
Central New York,Cayuga,8572,2946,02/09/2021
Western New York,Chautauqua,10780,3994,02/09/2021
Southern Tier,Chemung,8250,3517,02/09/2021
Southern Tier,Chenango,4123,1413,02/09/2021
North Country,Clinton,13048,4448,02/09/2021
Capital Region,Columbia,5933,2071,02/09/2021
Central New York,Cortland,4335,1623,02/09/2021
Southern Tier,Delaware,3005,1018,02/09/2021
Mid-Hudson,Dutchess,23350,9796,02/09/2021
Western New York,Erie,99715,40895,02/09/2021
North Country,Essex,5561,1652,02/09/2021
North Country,Franklin,7128,2736,02/09/2021
Mohawk Valley,Fulton,4677,1975,02/09/2021
Finger Lakes,Genesee,5613,1725,02/09/2021
Capital Region,Greene,4160,1193,02/09/2021
North Country,Hamilton,1401,214,02/09/2021
Mohawk Valley,Herkimer,7262,2288,02/09/2021
North Country,Jefferson,12134,4346,02/09/2021
New York City,Kings,152084,48360,02/09/2021
North Country,Lewis,3050,1185,02/09/2021
Finger Lakes,Livingston,6984,2835,02/09/2021
Central New York,Madison,8114,3412,02/09/2021
Finger Lakes,Monroe,80167,33026,02/09/2021
Mohawk Valley,Montgomery,5219,2243,02/09/2021
Long Island,Nassau,167481,68441,02/09/2021
New York City,New York,183803,66491,02/09/2021
Western New York,Niagara,20885,8255,02/09/2021
Mohawk Valley,Oneida,29020,12172,02/09/2021
Central New York,Onondaga,61956,22081,02/09/2021
Finger Lakes,Ontario,12964,4958,02/09/2021
Mid-Hudson,Orange,23507,10924,02/09/2021
Finger Lakes,Orleans,2883,969,02/09/2021
Central New York,Oswego,12490,3634,02/09/2021
Mohawk Valley,Otsego,6927,3129,02/09/2021
Mid-Hudson,Putnam,9204,3935,02/09/2021
New York City,Queens,173460,56164,02/09/2021
Capital Region,Rensselaer,17935,7033,02/09/2021
New York City,Richmond,49441,14215,02/09/2021
Mid-Hudson,Rockland,31805,12283,02/09/2021
Capital Region,Saratoga,26541,11550,02/09/2021
Capital Region,Schenectady,16391,7514,02/09/2021
Mohawk Valley,Schoharie,2332,837,02/09/2021
Southern Tier,Schuyler,1899,764,02/09/2021
Finger Lakes,Seneca,3266,819,02/09/2021
North Country,St. Lawrence,17811,5992,02/09/2021
Southern Tier,Steuben,7100,2672,02/09/2021
Long Island,Suffolk,137455,61665,02/09/2021
Mid-Hudson,Sullivan,5719,2419,02/09/2021
Southern Tier,Tioga,3699,1490,02/09/2021
Southern Tier,Tompkins,10431,3702,02/09/2021
Mid-Hudson,Ulster,15828,6574,02/09/2021
Capital Region,Warren,7582,3267,02/09/2021
Capital Region,Washington,4976,2088,02/09/2021
Finger Lakes,Wayne,8300,3016,02/09/2021
Mid-Hudson,Westchester,105935,46531,02/09/2021
Finger Lakes,Wyoming,3470,1589,02/09/2021
Finger Lakes,Yates,2493,820,02/09/2021
Capital Region,Albany,36145,16913,02/10/2021
Western New York,Allegany,2793,1341,02/10/2021
New York City,Bronx,82833,32196,02/10/2021
Southern Tier,Broome,23926,9028,02/10/2021
Western New York,Cattaraugus,5835,2794,02/10/2021
Central New York,Cayuga,8755,3237,02/10/2021
Western New York,Chautauqua,10926,4526,02/10/2021
Southern Tier,Chemung,8594,3883,02/10/2021
Southern Tier,Chenango,4287,1438,02/10/2021
North Country,Clinton,13267,4797,02/10/2021
Capital Region,Columbia,6048,2386,02/10/2021
Central New York,Cortland,4414,1783,02/10/2021
Southern Tier,Delaware,3053,1078,02/10/2021
Mid-Hudson,Dutchess,23834,10392,02/10/2021
Western New York,Erie,100936,44311,02/10/2021
North Country,Essex,5745,1816,02/10/2021
North Country,Franklin,7259,2875,02/10/2021
Mohawk Valley,Fulton,4744,2181,02/10/2021
Finger Lakes,Genesee,5711,1898,02/10/2021
Capital Region,Greene,4222,1243,02/10/2021
North Country,Hamilton,1406,221,02/10/2021
Mohawk Valley,Herkimer,7466,2447,02/10/2021
North Country,Jefferson,12309,4475,02/10/2021
New York City,Kings,155190,53047,02/10/2021
North Country,Lewis,3089,1267,02/10/2021
Finger Lakes,Livingston,7114,2981,02/10/2021
Central New York,Madison,8419,3581,02/10/2021
Finger Lakes,Monroe,81221,35254,02/10/2021
Mohawk Valley,Montgomery,5322,2321,02/10/2021
Long Island,Nassau,170313,74337,02/10/2021
New York City,New York,187151,73474,02/10/2021
Western New York,Niagara,21315,9026,02/10/2021
Mohawk Valley,Oneida,29803,13069,02/10/2021
Central New York,Onondaga,63084,23514,02/10/2021
Finger Lakes,Ontario,13173,5643,02/10/2021
Mid-Hudson,Orange,24033,11708,02/10/2021
Finger Lakes,Orleans,2918,1078,02/10/2021
Central New York,Oswego,12663,3876,02/10/2021
Mohawk Valley,Otsego,7079,3262,02/10/2021
Mid-Hudson,Putnam,9463,4131,02/10/2021
New York City,Queens,177223,61500,02/10/2021
Capital Region,Rensselaer,18216,7378,02/10/2021
New York City,Richmond,51154,15757,02/10/2021
Mid-Hudson,Rockland,32722,13703,02/10/2021
Capital Region,Saratoga,27199,12136,02/10/2021
Capital Region,Schenectady,16707,7922,02/10/2021
Mohawk Valley,Schoharie,2360,896,02/10/2021
Southern Tier,Schuyler,1940,814,02/10/2021
Finger Lakes,Seneca,3301,911,02/10/2021
North Country,St. Lawrence,18169,6655,02/10/2021
Southern Tier,Steuben,7573,2918,02/10/2021
Long Island,Suffolk,140503,65931,02/10/2021
Mid-Hudson,Sullivan,5932,2960,02/10/2021
Southern Tier,Tioga,3775,1625,02/10/2021
Southern Tier,Tompkins,10630,4351,02/10/2021
Mid-Hudson,Ulster,16186,7322,02/10/2021
Capital Region,Warren,7714,3465,02/10/2021
Capital Region,Washington,5036,2189,02/10/2021
Finger Lakes,Wayne,8389,3219,02/10/2021
Mid-Hudson,Westchester,108388,49786,02/10/2021
Finger Lakes,Wyoming,3597,1718,02/10/2021
Finger Lakes,Yates,2549,873,02/10/2021
Capital Region,Albany,37729,17842,02/11/2021
Western New York,Allegany,2909,1415,02/11/2021
New York City,Bronx,84755,35089,02/11/2021
Southern Tier,Broome,25074,9668,02/11/2021
Western New York,Cattaraugus,6133,2962,02/11/2021
Central New York,Cayuga,9205,3390,02/11/2021
Western New York,Chautauqua,11471,4858,02/11/2021
Southern Tier,Chemung,8770,4285,02/11/2021
Southern Tier,Chenango,4436,1520,02/11/2021
North Country,Clinton,13911,5598,02/11/2021
Capital Region,Columbia,6261,2627,02/11/2021
Central New York,Cortland,4865,1968,02/11/2021
Southern Tier,Delaware,3193,1146,02/11/2021
Mid-Hudson,Dutchess,24808,11484,02/11/2021
Western New York,Erie,102545,48424,02/11/2021
North Country,Essex,5930,2169,02/11/2021
North Country,Franklin,7497,3230,02/11/2021
Mohawk Valley,Fulton,4941,2314,02/11/2021
Finger Lakes,Genesee,5852,2142,02/11/2021
Capital Region,Greene,4445,1322,02/11/2021
North Country,Hamilton,1457,373,02/11/2021
Mohawk Valley,Herkimer,7792,2672,02/11/2021
North Country,Jefferson,12931,4804,02/11/2021
New York City,Kings,160967,57886,02/11/2021
North Country,Lewis,3166,1525,02/11/2021
Finger Lakes,Livingston,7385,3311,02/11/2021
Central New York,Madison,8724,3765,02/11/2021
Finger Lakes,Monroe,82733,37704,02/11/2021
Mohawk Valley,Montgomery,5528,2423,02/11/2021
Long Island,Nassau,174811,80515,02/11/2021
New York City,New York,191424,81295,02/11/2021
Western New York,Niagara,21587,9441,02/11/2021
Mohawk Valley,Oneida,31120,13761,02/11/2021
Central New York,Onondaga,65053,24968,02/11/2021
Finger Lakes,Ontario,13793,6167,02/11/2021
Mid-Hudson,Orange,25626,12410,02/11/2021
Finger Lakes,Orleans,3023,1195,02/11/2021
Central New York,Oswego,13120,4714,02/11/2021
Mohawk Valley,Otsego,7223,3413,02/11/2021
Mid-Hudson,Putnam,9894,4570,02/11/2021
New York City,Queens,183746,67674,02/11/2021
Capital Region,Rensselaer,18620,7786,02/11/2021
New York City,Richmond,52958,17497,02/11/2021
Mid-Hudson,Rockland,33985,14677,02/11/2021
Capital Region,Saratoga,28087,13031,02/11/2021
Capital Region,Schenectady,17202,8331,02/11/2021
Mohawk Valley,Schoharie,2464,1019,02/11/2021
Southern Tier,Schuyler,2013,893,02/11/2021
Finger Lakes,Seneca,3410,977,02/11/2021
North Country,St. Lawrence,18564,7215,02/11/2021
Southern Tier,Steuben,7780,3358,02/11/2021
Long Island,Suffolk,144872,69706,02/11/2021
Mid-Hudson,Sullivan,6091,3039,02/11/2021
Southern Tier,Tioga,3918,1730,02/11/2021
Southern Tier,Tompkins,10914,5158,02/11/2021
Mid-Hudson,Ulster,16943,8342,02/11/2021
Capital Region,Warren,7916,3800,02/11/2021
Capital Region,Washington,5157,2303,02/11/2021
Finger Lakes,Wayne,8602,3910,02/11/2021
Mid-Hudson,Westchester,111660,53609,02/11/2021
Finger Lakes,Wyoming,3732,1914,02/11/2021
Finger Lakes,Yates,2774,1019,02/11/2021
Capital Region,Albany,38808,18794,02/12/2021
Western New York,Allegany,3098,1612,02/12/2021
New York City,Bronx,86941,38208,02/12/2021
Southern Tier,Broome,25785,10530,02/12/2021
Western New York,Cattaraugus,6323,3112,02/12/2021
Central New York,Cayuga,9504,3596,02/12/2021
Western New York,Chautauqua,11730,5614,02/12/2021
Southern Tier,Chemung,9200,4668,02/12/2021
Southern Tier,Chenango,4693,1700,02/12/2021
North Country,Clinton,14412,6018,02/12/2021
Capital Region,Columbia,6582,3024,02/12/2021
Central New York,Cortland,5001,2132,02/12/2021
Southern Tier,Delaware,3287,1296,02/12/2021
Mid-Hudson,Dutchess,25508,11958,02/12/2021
Western New York,Erie,104769,52628,02/12/2021
North Country,Essex,6136,2327,02/12/2021
North Country,Franklin,7902,3425,02/12/2021
Mohawk Valley,Fulton,5074,2441,02/12/2021
Finger Lakes,Genesee,6044,2471,02/12/2021
Capital Region,Greene,4545,1373,02/12/2021
North Country,Hamilton,1498,443,02/12/2021
Mohawk Valley,Herkimer,7984,2976,02/12/2021
North Country,Jefferson,13313,5063,02/12/2021
New York City,Kings,167435,62386,02/12/2021
North Country,Lewis,3335,1561,02/12/2021
Finger Lakes,Livingston,7529,3816,02/12/2021
Central New York,Madison,8965,3947,02/12/2021
Finger Lakes,Monroe,85353,41426,02/12/2021
Mohawk Valley,Montgomery,5678,2589,02/12/2021
Long Island,Nassau,182079,88548,02/12/2021
New York City,New York,196039,89071,02/12/2021
Western New York,Niagara,21860,9852,02/12/2021
Mohawk Valley,Oneida,32018,14694,02/12/2021
Central New York,Onondaga,66339,26851,02/12/2021
Finger Lakes,Ontario,14329,6835,02/12/2021
Mid-Hudson,Orange,26005,13245,02/12/2021
Finger Lakes,Orleans,3068,1297,02/12/2021
Central New York,Oswego,13388,5601,02/12/2021
Mohawk Valley,Otsego,7497,3864,02/12/2021
Mid-Hudson,Putnam,10121,4825,02/12/2021
New York City,Queens,191080,74261,02/12/2021
Capital Region,Rensselaer,19415,8395,02/12/2021
New York City,Richmond,54668,18693,02/12/2021
Mid-Hudson,Rockland,34662,15576,02/12/2021
Capital Region,Saratoga,28927,13945,02/12/2021
Capital Region,Schenectady,17808,8882,02/12/2021
Mohawk Valley,Schoharie,2608,1096,02/12/2021
Southern Tier,Schuyler,2029,1095,02/12/2021
Finger Lakes,Seneca,3615,1073,02/12/2021
North Country,St. Lawrence,19152,7775,02/12/2021
Southern Tier,Steuben,7954,3832,02/12/2021
Long Island,Suffolk,150248,74333,02/12/2021
Mid-Hudson,Sullivan,6452,3135,02/12/2021
Southern Tier,Tioga,4030,1823,02/12/2021
Southern Tier,Tompkins,11124,5707,02/12/2021
Mid-Hudson,Ulster,17451,8677,02/12/2021
Capital Region,Warren,8085,4143,02/12/2021
Capital Region,Washington,5262,2409,02/12/2021
Finger Lakes,Wayne,9006,4261,02/12/2021
Mid-Hudson,Westchester,114041,57312,02/12/2021
Finger Lakes,Wyoming,3913,2062,02/12/2021
Finger Lakes,Yates,2843,1098,02/12/2021
Capital Region,Albany,39326,19657,02/13/2021
Western New York,Allegany,3130,1646,02/13/2021
New York City,Bronx,88638,39962,02/13/2021
Southern Tier,Broome,26138,10920,02/13/2021
Western New York,Cattaraugus,6369,3318,02/13/2021
Central New York,Cayuga,9653,4177,02/13/2021
Western New York,Chautauqua,11897,5789,02/13/2021
Southern Tier,Chemung,9309,4783,02/13/2021
Southern Tier,Chenango,4910,1742,02/13/2021
North Country,Clinton,14610,6327,02/13/2021
Capital Region,Columbia,6679,3209,02/13/2021
Central New York,Cortland,5051,2271,02/13/2021
Southern Tier,Delaware,3406,1397,02/13/2021
Mid-Hudson,Dutchess,26106,12410,02/13/2021
Western New York,Erie,106819,55865,02/13/2021
North Country,Essex,6292,2475,02/13/2021
North Country,Franklin,8048,3632,02/13/2021
Mohawk Valley,Fulton,5156,2488,02/13/2021
Finger Lakes,Genesee,6117,2636,02/13/2021
Capital Region,Greene,4602,1869,02/13/2021
North Country,Hamilton,1547,501,02/13/2021
Mohawk Valley,Herkimer,8166,3114,02/13/2021
North Country,Jefferson,13525,5314,02/13/2021
New York City,Kings,173215,65850,02/13/2021
North Country,Lewis,3379,1595,02/13/2021
Finger Lakes,Livingston,7602,3880,02/13/2021
Central New York,Madison,9109,4084,02/13/2021
Finger Lakes,Monroe,86940,43901,02/13/2021
Mohawk Valley,Montgomery,5736,2649,02/13/2021
Long Island,Nassau,186315,93361,02/13/2021
New York City,New York,201407,94934,02/13/2021
Western New York,Niagara,22248,10479,02/13/2021
Mohawk Valley,Oneida,32756,15341,02/13/2021
Central New York,Onondaga,67340,28721,02/13/2021
Finger Lakes,Ontario,14632,7181,02/13/2021
Mid-Hudson,Orange,26341,13683,02/13/2021
Finger Lakes,Orleans,3082,1345,02/13/2021
Central New York,Oswego,13536,6768,02/13/2021
Mohawk Valley,Otsego,7709,3961,02/13/2021
Mid-Hudson,Putnam,10312,4983,02/13/2021
New York City,Queens,198267,78428,02/13/2021
Capital Region,Rensselaer,19613,8719,02/13/2021
New York City,Richmond,56298,19938,02/13/2021
Mid-Hudson,Rockland,35198,16353,02/13/2021
Capital Region,Saratoga,29480,14968,02/13/2021
Capital Region,Schenectady,18216,9311,02/13/2021
Mohawk Valley,Schoharie,2645,1133,02/13/2021
Southern Tier,Schuyler,2036,1108,02/13/2021
Finger Lakes,Seneca,3665,1390,02/13/2021
North Country,St. Lawrence,19416,8279,02/13/2021
Southern Tier,Steuben,8065,4106,02/13/2021
Long Island,Suffolk,154301,77153,02/13/2021
Mid-Hudson,Sullivan,6560,3212,02/13/2021
Southern Tier,Tioga,4081,1886,02/13/2021
Southern Tier,Tompkins,11267,5855,02/13/2021
Mid-Hudson,Ulster,17800,9000,02/13/2021
Capital Region,Warren,8471,4258,02/13/2021
Capital Region,Washington,5490,2461,02/13/2021
Finger Lakes,Wayne,9150,4437,02/13/2021
Mid-Hudson,Westchester,116005,60396,02/13/2021
Finger Lakes,Wyoming,3959,2089,02/13/2021
Finger Lakes,Yates,2917,1125,02/13/2021
Capital Region,Albany,40020,20155,02/14/2021
Western New York,Allegany,3150,1652,02/14/2021
New York City,Bronx,89861,41790,02/14/2021
Southern Tier,Broome,26579,11322,02/14/2021
Western New York,Cattaraugus,6480,3361,02/14/2021
Central New York,Cayuga,9793,4705,02/14/2021
Western New York,Chautauqua,12069,6013,02/14/2021
Southern Tier,Chemung,9352,4824,02/14/2021
Southern Tier,Chenango,4942,1791,02/14/2021
North Country,Clinton,14773,6671,02/14/2021
Capital Region,Columbia,6830,3265,02/14/2021
Central New York,Cortland,5121,2324,02/14/2021
Southern Tier,Delaware,3545,1419,02/14/2021
Mid-Hudson,Dutchess,26551,12680,02/14/2021
Western New York,Erie,108303,57380,02/14/2021
North Country,Essex,6432,2566,02/14/2021
North Country,Franklin,8241,3767,02/14/2021
Mohawk Valley,Fulton,5215,2613,02/14/2021
Finger Lakes,Genesee,6201,2728,02/14/2021
Capital Region,Greene,4774,1960,02/14/2021
North Country,Hamilton,1548,504,02/14/2021
Mohawk Valley,Herkimer,8356,3261,02/14/2021
North Country,Jefferson,13672,5543,02/14/2021
New York City,Kings,176936,70487,02/14/2021
North Country,Lewis,3395,1624,02/14/2021
Finger Lakes,Livingston,7675,3962,02/14/2021
Central New York,Madison,9221,4191,02/14/2021
Finger Lakes,Monroe,88590,45861,02/14/2021
Mohawk Valley,Montgomery,5809,2684,02/14/2021
Long Island,Nassau,189755,98116,02/14/2021
New York City,New York,205310,99620,02/14/2021
Western New York,Niagara,22528,10777,02/14/2021
Mohawk Valley,Oneida,33461,16096,02/14/2021
Central New York,Onondaga,68350,30260,02/14/2021
Finger Lakes,Ontario,14784,7407,02/14/2021
Mid-Hudson,Orange,26652,13960,02/14/2021
Finger Lakes,Orleans,3104,1396,02/14/2021
Central New York,Oswego,13673,7250,02/14/2021
Mohawk Valley,Otsego,7811,4029,02/14/2021
Mid-Hudson,Putnam,10479,5095,02/14/2021
New York City,Queens,203174,84010,02/14/2021
Capital Region,Rensselaer,19850,8998,02/14/2021
New York City,Richmond,57362,22713,02/14/2021
Mid-Hudson,Rockland,35695,16841,02/14/2021
Capital Region,Saratoga,30221,15328,02/14/2021
Capital Region,Schenectady,18727,9650,02/14/2021
Mohawk Valley,Schoharie,2667,1154,02/14/2021
Southern Tier,Schuyler,2072,1129,02/14/2021
Finger Lakes,Seneca,3684,1434,02/14/2021
North Country,St. Lawrence,19655,8680,02/14/2021
Southern Tier,Steuben,8136,4213,02/14/2021
Long Island,Suffolk,156657,80087,02/14/2021
Mid-Hudson,Sullivan,6601,3274,02/14/2021
Southern Tier,Tioga,4195,1947,02/14/2021
Southern Tier,Tompkins,11430,5988,02/14/2021
Mid-Hudson,Ulster,18084,9241,02/14/2021
Capital Region,Warren,8697,4328,02/14/2021
Capital Region,Washington,5603,2506,02/14/2021
Finger Lakes,Wayne,9277,4636,02/14/2021
Mid-Hudson,Westchester,117807,62446,02/14/2021
